66cafde9f17181e6f749bbfb_2024-11-26T01:15:41.037Z
End_Time,2024-11-26T01:30:38.470Z
Block_Order,genuine,corruptible,dominant,attractive
Male_Politician_Image,1John_Katko.jpg,2Ken_Smith.jpg,3Darrell_lssa.jpg,4Louis_Terhar.jpg,5Tuggle_Mark.jpg,6Brown_KL.jpg,7Bill_Poole.jpg,8Noel_W_Campbell.JPG,9Bill_Gwatney.jpg,10Scheffel_Mark.jpg,11Daniel_Kagan.jpg,12Frantz_Scott.jpg,13Steven_Sodders.jpg,14Fitz_Steele.jpg,15Harold_Naughton.jpg,16Jon_Sesso.jpg,17Michael_Ranzenhofer.jpg,18Brian_Crain.jpg,19Warren_Kampf.jpg,20Jeffrey_Bradley.jpg,21Bruce_Bannister.jpg,22Sanderson_Bill.jpg,23Scott_Rigell.jpg,24Dan_Ortiz.jpg,25Matt_Claman.jpg,26Dennis_Egan.jpg,27Joseph_Lagana.jpg,28Richard_Codey.jpg,29Thomas_Abinanti.jpg,30Stephen_Ross.jpg,31Tim_Hennessey.jpg,32Kevin _Schreiber.jpg,33Charles_McIlhinney.jpg,34Niceley_Frank.jpg,35Frank_Garner.jpg,36Neil_D_Breslin.jpg,37_Michael Grimm.jpg,38Bob_Ney.jpg,39Duke_Cunningham.jpg,40James_Traficant.jpg,41Mike_Hubbard.jpg,42Greg_Wren.jpg,43Terry_Spicer.jpg,44Paul_Bookout.jpg,45Ben_Arredondo.jpg,46Steve_King.jpg,47Douglas_Bruce.jpg,48Thomas_Gaffey.jpg,49Kent_Sorenson.jpg,50KeithHall.jpg,51Salvatore_Dimasi.jpg,52Art_Wittich.jpg,53John_Perzel.jpg,54Carl_Kruger.jpg,55Rick_Brinkley.jpg,56Bobby_Harrell.jpg,57Thad_Viers.jpg,58Joe_Armstrong.jpg,59Phil_Hamilton.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,62John_Cowdery.jpg,63Daniel_Van_Pelt.jpg,64Joseph_Coniglio.jpg,65Anthoney_Seminerio.jpg,66James_Boyce_Black.jpg,67William_DeWeese.jpg,68Jeffrey_Habay.jpg,69Joseph_Loeper.jpg,70Ward_Crutchfield.jpg,71Joel_Boniek.jpg,72Vincent_Leibell.jpg
Corruptible_Ratings,5,4,3,2,3,4,5,2,3,3,3,2,4,4,5,2,3,4,3,4,3,3,4,3,2,5,3,3,2,2,6,3,3,2,3,3,5,4,4,6,4,5,4,4,5,4,4,2,3,3,3,3,2,3,4,4,2,3,4,2,4,3,3,4,2,3,3,3,2,2,3,4
Corruptible_RT,2420,2083,2120,1957,1420,1725,3605,2504,1401,1319,2206,1589,1204,1200,1752,2753,2237,1745,1163,1490,1283,2724,2203,2221,2627,1867,1617,1117,1891,2664,2449,2017,1882,2107,2100,3606,1638,1361,1938,1991,2770,1556,1284,2363,2669,1425,1212,2864,1172,3010,1538,1418,2051,2182,2256,2268,2130,2139,1404,3146,1532,13392,1329,1683,2296,3104,1664,2122,1556,2328,1944,1041
Corruptible_ImageOrder,62John_Cowdery.jpg,25Matt_Claman.jpg,7Bill_Poole.jpg,56Bobby_Harrell.jpg,68Jeffrey_Habay.jpg,45Ben_Arredondo.jpg,44Paul_Bookout.jpg,23Scott_Rigell.jpg,39Duke_Cunningham.jpg,31Tim_Hennessey.jpg,1John_Katko.jpg,2Ken_Smith.jpg,11Daniel_Kagan.jpg,50KeithHall.jpg,41Mike_Hubbard.jpg,40James_Traficant.jpg,58Joe_Armstrong.jpg,55Rick_Brinkley.jpg,72Vincent_Leibell.jpg,16Jon_Sesso.jpg,36Neil_D_Breslin.jpg,24Dan_Ortiz.jpg,6Brown_KL.jpg,30Stephen_Ross.jpg,4Louis_Terhar.jpg,9Bill_Gwatney.jpg,5Tuggle_Mark.jpg,69Joseph_Loeper.jpg,48Thomas_Gaffey.jpg,51Salvatore_Dimasi.jpg,19Warren_Kampf.jpg,32Kevin _Schreiber.jpg,63Daniel_Van_Pelt.jpg,3Darrell_lssa.jpg,27Joseph_Lagana.jpg,57Thad_Viers.jpg,65Anthoney_Seminerio.jpg,60Vic_Kohring.jpg,61Bruce_Weyhrauch.jpg,14Fitz_Steele.jpg,37_Michael Grimm.jpg,67William_DeWeese.jpg,20Jeffrey_Bradley.jpg,35Frank_Garner.jpg,42Greg_Wren.jpg,15Harold_Naughton.jpg,18Brian_Crain.jpg,43Terry_Spicer.jpg,46Steve_King.jpg,22Sanderson_Bill.jpg,34Niceley_Frank.jpg,71Joel_Boniek.jpg,66James_Boyce_Black.jpg,54Carl_Kruger.jpg,10Scheffel_Mark.jpg,49Kent_Sorenson.jpg,28Richard_Codey.jpg,21Bruce_Bannister.jpg,70Ward_Crutchfield.jpg,12Frantz_Scott.jpg,8Noel_W_Campbell.JPG,29Thomas_Abinanti.jpg,26Dennis_Egan.jpg,47Douglas_Bruce.jpg,64Joseph_Coniglio.jpg,52Art_Wittich.jpg,33Charles_McIlhinney.jpg,53John_Perzel.jpg,17Michael_Ranzenhofer.jpg,13Steven_Sodders.jpg,38Bob_Ney.jpg,59Phil_Hamilton.jpg
Genuine_Ratings,3,3,3,4,2,2,4,5,2,3,4,4,4,4,3,3,2,3,3,3,3,2,4,3,2,4,3,2,5,4,2,4,3,5,2,3,2,2,3,2,2,3,2,4,2,3,4,3,2,4,4,5,2,3,3,4,4,2,4,4,4,4,3,2,4,3,3,5,3,2,4,2
Genuine_RT,4199,1757,1797,1582,1378,4163,2437,3306,2602,2145,3954,1761,2123,5203,3382,2098,1813,1528,1310,3683,1269,2414,2264,2114,4982,2143,2616,1311,3087,4111,1299,2263,2324,1998,1483,1876,4803,2381,2283,1831,2191,2318,1648,3114,3213,1818,5672,1986,1883,2890,2359,5105,2753,5347,1604,3031,7912,3192,1948,1656,3864,3780,2145,2405,5124,1809,3790,1836,1888,2803,2861,2405
Genuine_ImageOrder,57Thad_Viers.jpg,47Douglas_Bruce.jpg,14Fitz_Steele.jpg,44Paul_Bookout.jpg,8Noel_W_Campbell.JPG,1John_Katko.jpg,63Daniel_Van_Pelt.jpg,52Art_Wittich.jpg,59Phil_Hamilton.jpg,29Thomas_Abinanti.jpg,23Scott_Rigell.jpg,4Louis_Terhar.jpg,62John_Cowdery.jpg,66James_Boyce_Black.jpg,61Bruce_Weyhrauch.jpg,46Steve_King.jpg,54Carl_Kruger.jpg,67William_DeWeese.jpg,13Steven_Sodders.jpg,43Terry_Spicer.jpg,32Kevin _Schreiber.jpg,56Bobby_Harrell.jpg,30Stephen_Ross.jpg,15Harold_Naughton.jpg,3Darrell_lssa.jpg,37_Michael Grimm.jpg,9Bill_Gwatney.jpg,28Richard_Codey.jpg,48Thomas_Gaffey.jpg,5Tuggle_Mark.jpg,65Anthoney_Seminerio.jpg,71Joel_Boniek.jpg,12Frantz_Scott.jpg,27Joseph_Lagana.jpg,20Jeffrey_Bradley.jpg,39Duke_Cunningham.jpg,42Greg_Wren.jpg,36Neil_D_Breslin.jpg,16Jon_Sesso.jpg,68Jeffrey_Habay.jpg,49Kent_Sorenson.jpg,69Joseph_Loeper.jpg,2Ken_Smith.jpg,41Mike_Hubbard.jpg,64Joseph_Coniglio.jpg,18Brian_Crain.jpg,33Charles_McIlhinney.jpg,45Ben_Arredondo.jpg,21Bruce_Bannister.jpg,40James_Traficant.jpg,17Michael_Ranzenhofer.jpg,53John_Perzel.jpg,25Matt_Claman.jpg,35Frank_Garner.jpg,22Sanderson_Bill.jpg,70Ward_Crutchfield.jpg,38Bob_Ney.jpg,6Brown_KL.jpg,58Joe_Armstrong.jpg,24Dan_Ortiz.jpg,31Tim_Hennessey.jpg,72Vincent_Leibell.jpg,50KeithHall.jpg,60Vic_Kohring.jpg,26Dennis_Egan.jpg,11Daniel_Kagan.jpg,7Bill_Poole.jpg,10Scheffel_Mark.jpg,55Rick_Brinkley.jpg,34Niceley_Frank.jpg,51Salvatore_Dimasi.jpg,19Warren_Kampf.jpg
Attractive_Ratings,4,6,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,5,4,4,6,4,5,5,4,4,4,5,6,4,6,4,6,4,4,4,5,4,4,4,4,4,5,4,4,5,4,4,4,4,5,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4
Attractive_RT,660,1152,797,435,1131,711,1309,1759,7449,1197,1112,1180,709,1333,710,419,1366,739,1199,793,628,1957,1123,970,2840,1582,1158,1186,1559,1076,795,1174,1244,1147,707,467,904,1537,1131,1239,592,702,1063,2233,703,705,925,1263,1957,792,637,775,3839,769,1749,1269,2140,3115,675,597,790,1577,591,1849,386,664,699,1176,722,492,701,980
Attractive_ImageOrder,9Bill_Gwatney.jpg,58Joe_Armstrong.jpg,28Richard_Codey.jpg,64Joseph_Coniglio.jpg,44Paul_Bookout.jpg,53John_Perzel.jpg,25Matt_Claman.jpg,38Bob_Ney.jpg,48Thomas_Gaffey.jpg,26Dennis_Egan.jpg,10Scheffel_Mark.jpg,27Joseph_Lagana.jpg,72Vincent_Leibell.jpg,61Bruce_Weyhrauch.jpg,40James_Traficant.jpg,8Noel_W_Campbell.JPG,29Thomas_Abinanti.jpg,39Duke_Cunningham.jpg,5Tuggle_Mark.jpg,18Brian_Crain.jpg,42Greg_Wren.jpg,46Steve_King.jpg,13Steven_Sodders.jpg,69Joseph_Loeper.jpg,43Terry_Spicer.jpg,59Phil_Hamilton.jpg,50KeithHall.jpg,35Frank_Garner.jpg,45Ben_Arredondo.jpg,22Sanderson_Bill.jpg,11Daniel_Kagan.jpg,31Tim_Hennessey.jpg,56Bobby_Harrell.jpg,66James_Boyce_Black.jpg,15Harold_Naughton.jpg,55Rick_Brinkley.jpg,63Daniel_Van_Pelt.jpg,60Vic_Kohring.jpg,57Thad_Viers.jpg,62John_Cowdery.jpg,47Douglas_Bruce.jpg,52Art_Wittich.jpg,49Kent_Sorenson.jpg,33Charles_McIlhinney.jpg,12Frantz_Scott.jpg,7Bill_Poole.jpg,19Warren_Kampf.jpg,3Darrell_lssa.jpg,20Jeffrey_Bradley.jpg,54Carl_Kruger.jpg,34Niceley_Frank.jpg,2Ken_Smith.jpg,24Dan_Ortiz.jpg,14Fitz_Steele.jpg,21Bruce_Bannister.jpg,30Stephen_Ross.jpg,17Michael_Ranzenhofer.jpg,23Scott_Rigell.jpg,6Brown_KL.jpg,68Jeffrey_Habay.jpg,32Kevin _Schreiber.jpg,71Joel_Boniek.jpg,67William_DeWeese.jpg,41Mike_Hubbard.jpg,37_Michael Grimm.jpg,36Neil_D_Breslin.jpg,70Ward_Crutchfield.jpg,1John_Katko.jpg,51Salvatore_Dimasi.jpg,65Anthoney_Seminerio.jpg,4Louis_Terhar.jpg,16Jon_Sesso.jpg
